seed,method,attack,accepted,commit_delta,audit_delta,operational_harm,declared_harm,harmful_escape,declared_harmful_escape,beneficial,false_rejection,before_balanced_accuracy,candidate_balanced_accuracy,installed_balanced_accuracy,receipt_decision,receipt_delta,receipt_hash,append_succeeded,append_attempts,append_successes,installed_candidate,installed_model_version,serving_bytes_verified,risk_consumed,probe_consumed,competing_fixation_blocked,witness_faults_injected,witness_signatures,witness_threshold,witness_quorum_met,event_chain_valid,protocol_event_count,catalog_leaves,certificate_issue_ms,protocol_e2e_ms
2,FedAvg,none,1,-0.005219662075105263,-0.004410235800825,0,0,0,0,1,0,0.5315501046125832,0.538268946258021,0.538268946258021,commit,-0.005219662075105263,2e038c22dc0b0316b2c710987a4eca45b8a9a88d931c2108f7575a37c21bf663,1,2,2,1,1,1,1,1,1,1,3,3,1,1,9,1,2056.220012,4907.10904
2,CoordinateMedian,none,1,-0.014193351057131579,-0.01215935231795,0,0,0,0,1,0,0.5315501046125832,0.5480823944463412,0.5480823944463412,commit,-0.014193351057131579,24cb0afe5ece0054ed2ea00307a30256fe6cfea81e4bf5ae149a094879c6248c,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2010.925483,3947.218221
2,Krum,none,1,-0.016086386334447367,-0.014410067428025,0,0,0,0,1,0,0.5315501046125832,0.5547136941810892,0.5547136941810892,commit,-0.016086386334447367,41b2015141c038ff040b28e18e02a44cb8d83fbdc4101524871531b7640ff821,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2064.224217,4009.590802
2,FLTrust,none,1,-0.000237681978,-0.000114353285225,0,0,0,0,1,0,0.5315501046125832,0.536058513013105,0.536058513013105,commit,-0.000237681978,76bc38e2334f387a0fb45c35bc4c9f8b65b17b675410783166c21932a03cc747,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2003.160655,3938.30887
2,FedVal,none,1,-0.009213640944947369,-0.0085304352037,0,0,0,0,1,0,0.5315501046125832,0.5183794241493115,0.5183794241493115,commit,-0.009213640944947369,b9be8ec22bd4d7e49fba379694f8c3ddd1425e3b8771341241c18126e0b8bee6,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2001.08651,3966.190915
2,FLShield,none,1,-0.010081231577342106,-0.009472657338225,0,0,0,0,1,0,0.5315501046125832,0.5188215107982947,0.5188215107982947,commit,-0.010081231577342106,02a2f8e1cde8c43d312484a8b496434603617cfa02e3bc7b9eec2fbde7187704,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2080.718396,3999.014089
2,FedAvg,sign_flip,0,0.010832346286394737,0.0087684528076,0,0,0,0,0,0,0.5315501046125832,0.5339356216788788,0.5315501046125832,reject,0.010832346286394737,a087475af341c1815592ebf4ba92861ffc0dff7f64ad25ffb055fc06306d7a7f,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2071.240863,3949.322235
2,CoordinateMedian,sign_flip,1,-0.010872035097157895,-0.009542726451975,0,0,0,0,1,0,0.5315501046125832,0.527396240950355,0.527396240950355,commit,-0.010872035097157895,3ced73a6ae58cf7fbf3bc9bd6ce68054514b10c6aa7027ef6d0d7416860c380c,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2007.944624,3972.66497
2,Krum,sign_flip,1,-0.016707568958368422,-0.014122554035,0,0,0,0,1,0,0.5315501046125832,0.5637305109821327,0.5637305109821327,commit,-0.016707568958368422,05c4cff3f983a22c822acce15f4086433515de89fb24b6c57c8d3827feb88ae3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2027.73833,3950.829922
2,FLTrust,sign_flip,1,-0.00019006188439473686,-6.85405615e-05,0,0,0,0,1,0,0.5315501046125832,0.536058513013105,0.536058513013105,commit,-0.00019006188439473686,6b36be6c849887d92e6b693197b200376ef528c247f8e2e37ee783e70a569f39,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2035.423169,3961.682485
2,FedVal,sign_flip,1,-0.006284370884236842,-0.00545204903765,0,0,0,0,1,0,0.5315501046125832,0.5166110775533788,0.5166110775533788,commit,-0.006284370884236842,b2facb537fdfaac94c4c7f04f25f13432ad62b1ac1b917022c37c6576f7530a2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2011.338875,3955.814168
